"hs","lalpha","auq1","AUQ2"
"0102390072","BUFFALO, LIVE, FOR BREEDING, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102390074","BUFFALO, LIVE, IMPORTED FOR BREEDING, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102390082","BUFFALO, LIVE, MALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102390084","BUFFALO, LIVE, FEMALE, WEIGHING 320 KG OR MORE EACH, NESOI","NO","KG"
"0102900000","BOVINES, LIVE, OTHER THAN CATTLE OR BUFFALO","NO","KG"
"0103100000","SWINE, PUREBRED BREEDING, LIVE","NO",
"0103910010","SWINE, WEIGHING LESS THAN 7 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0103910020","SWINE, WEIGHING 7 KG OR MORE BUT LESS THAN 23 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0103910030","SWINE, WEIGHING 23 KG OR MORE BUT LESS THAN 50 KG EACH, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0103920010","SWINE, WEIGHING 50 KG OR MORE EACH, IMPORTED FOR IMMEDIATE SLAUGHTER, LIVE, EXCEPT PUREBRED BREEDING","NO","KG"
"0103920020","SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, BREEDING, EXCEPT PUREBRED, IMMEDIATE SLAUGHTER","NO","KG"
"0103920091","SWINE, WEIGHING 50 KG OR MORE EACH, LIVE, EXCEPT IMMEDIATE SLAUGHTER, PUREBRED BREEDING, BREEDING","NO","KG"
"0104100000","SHEEP, LIVE","NO","KG"
"0104200000","GOATS, LIVE","NO",
"0105110010","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, LAYER-TYPE (EGG-TYPE), LIVE","NO",
"0105110020","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, BREEDING STOCK, BROILER-TYPE (MEAT-TYPE), LIVE","NO",
"0105110040","CHICKENS, WEIGHING NOT MORE THAN 185 G EACH, LIVE, EXCEPT BREEDING STOCK","NO",
"0105120000","TURKEYS, WEIGHING NOT MORE THAN 185 G EACH, LIVE","NO",
"0105130000","DUCKS, WEIGHING NOT MORE THAN 185 G EACH, LIVE","NO",
"0105140000","GEESE, WEIGHING NOT MORE THAN 185 G EACH, LIVE","NO",
"0105150000","GUINEA FOWLS, WEIGHING NOT MORE THAN 185 G EACH, LIVE","NO",
"0105940000","LIVE CHICKENS, EACH WEIGHING 185 G OR MORE","NO","KG"
"0105990000","TURKEYS, DUCKS, GEESE AND GUINEA FOWLS, WEIGHING MORE THAN 185 G EACH, LIVE","NO","KG"
"0106110000","PRIMATES, LIVE","NO",
"0106120100","WHALES, DOLPHINS AND PORPOISES; MANATEES AND DUGONGS; SEALS, SEA LIONS AND WALRUSES, LIVE","NO",
"0106130000","CAMELS AND OTHER CAMELIDS (CAMELIDAE), LIVE","NO",
"0106140000","RABBITS AND HARES, LIVE","NO",
"0106193000","FOXES, LIVE","NO",
"0106199120","DOGS, LIVE","NO",
"0106199195","MAMMALS, LIVE, NESOI","NO",
"0106200000","REPTILES (INCLUDING SNAKES AND TURTLES), LIVE","NO",
"0106310000","BIRDS OF PREY, LIVE","NO",
"0106320000","PSITTACIFORMES (INCLUDING PARROTS, PARAKEETS, MACAWS AND COCKATOOS), LIVE","NO",
"0106330000","OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE), LIVE","NO",
"0106390100","BIRDS, LIVE, NESOI","NO",
"0106410000","BEES, LIVE","X",
"0106490010","LARVAE OF LEAF CUTTER BEE, LIVE","KG",
"0106490090","INSECTS, LIVE, OTHER THAN BEES OR LEAF CUTTER BEE LARVAE","X",
"0106900110","WORMS, LIVE","X",
"0106900120","BAIT, LIVE, EXCEPT WORMS","X",
"0106900180","ANIMALS, LIVE, EXCEPT MAMMALS, REPTILES, BIRDS OR INSECTS, NESOI","X",
"0201100510","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0201100590","CARCASSES AND HALF-CARCASSES OF BOVINES, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0201101010","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3","KG",
"0201101090","CARCASSES AND HALF-CARCASSES OF BOVINES, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0201105010","CARCASSES AND HALF-CARCASSES OF VEAL, FRESH OR CHILLED, NESOI","KG",
"0201105090","CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FRESH OR CHILLED, NESOI","KG",
"0201200200","BEEF WITH BONE IN, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0201200400","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0201200600","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED","KG",
"0201201000","BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3","KG",
"0201203000","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0201205015","MEAT OF BOVINES, VEAL CUTS WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED","KG",
"0201205025","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS","KG",
"0201205035","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS","KG",
"0201205045","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS","KG",
"0201205055","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS","KG",
"0201205065","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS","KG",
"0201205075","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS","KG",
"0201205085","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI","KG",
"0201208010","MEAT OF BISON, WITH BONE IN, FRESH OR CHILLED, NESOI","KG",
"0201208090","MEAT OF BOVINES, WITH BONE IN, FRESH OR CHILLED, NESOI","KG",
"0201300200","BEEF, BONELESS, HIGH-QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0201300400","MEAT OF BOVINES, BONELESS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0201300600","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED","KG",
"0201301000","BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3","KG",
"0201303000","MEAT OF BOVINES, BONELESS, PROCESSED, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0201305015","MEAT OF BOVINES, VEAL CUT BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED","KG",
"0201305025","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS","KG",
"0201305035","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS","KG",
"0201305045","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS","KG",
"0201305055","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS","KG",
"0201305065","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS","KG",
"0201305075","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS","KG",
"0201305085","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI","KG",
"0201308010","MEAT OF BISON, BONELESS, FRESH OR CHILLED, NESOI","KG",
"0201308090","MEAT OF BOVINES, BONELESS, FRESH OR CHILLED, NESOI","KG",
"0202100510","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0202100590","CARCASSES AND HALF-CARCASSES OF BOVINES, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0202101010","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, AS SPECIFIED IN US NOTE 3","KG",
"0202101090","CARCASSES AND HALF-CARCASSES OF BOVINES, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0202105010","CARCASSES AND HALF-CARCASSES OF VEAL, FROZEN, NESOI","KG",
"0202105090","CARCASSES AND HALF-CARCASSES OF BOVINE ANIMALS, EXCEPT VEAL, FROZEN, NESOI","KG",
"0202200200","BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0202200400","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0202200600","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED","KG",
"0202201000","BEEF WITH BONE IN, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3","KG",
"0202203000","MEAT OF BOVINES, WITH BONE IN, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0202205025","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS","KG",
"0202205035","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS","KG",
"0202205045","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS","KG",
"0202205055","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS","KG",
"0202205065","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS","KG",
"0202205075","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS","KG",
"0202205085","MEAT OF BOVINES, WITH BONE IN, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI","KG",
"0202208000","MEAT OF BOVINES, WITH BONE IN, FROZEN, NESOI","KG",
"0202300200","BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15","KG",
"0202300400","MEAT OF BOVINES, BONELSESS, PROCESSED, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, NESOI","KG",
"0202300600","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN GENERAL NOTE 15, EXCEPT PROCESSED","KG",
"0202301000","BEEF, BONELESS, HIGH QUALITY CUTS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3","KG",
"0202303000","MEAT OF BOVINES, BONELESS, PROCESSED, FROZEN, AS SPECIFIED IN US NOTE 3, NESOI","KG",
"0202305015","MEAT OF BOVINES, VEAL CUT BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED","KG",
"0202305025","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, RIB CUTS","KG",
"0202305035","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, CHUCK CUTS","KG",
"0202305045","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, LOIN CUTS","KG",
"0202305055","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, BRISKET CUTS","KG",
"0202305065","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, HIP CUTS","KG",
"0202305075","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, FLANK OR PLATE CUTS","KG",
"0202305085","MEAT OF BOVINES, BONELESS, FROZEN, AS SPECIFIED IN US NOTE 3, EXCEPT PROCESSED, NESOI","KG",
"0202308000","MEAT OF BOVINES, BONELESS, FROZEN, NESOI","KG",
"0203110000","CARCASSES AND HALF-CARCASSES OF SWINE, FRESH OR CHILLED","KG",
"0203121010","HAMS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FRESH OR CHILLED","KG",
"0203121020","SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FRESH OR CHILLED","KG",
"0203129010","HAMS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FRESH OR CHILLED, EXCEPT PROCESSED","KG",
"0203129020","SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FRESH OR CHILLED, EXCEPT PROCESSED","KG",
"0203192010","SPARE RIBS OF SWINE, PROCESSED, FRESH OR CHILLED","KG",
"0203192090","MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, PROCESSED, FRESH OR CHILLED, NESOI","KG",
"0203194010","BELLIES OF SWINE, FRESH OR CHILLED, EXCEPT PROCESSED","KG",
"0203194090","MEAT OF SWINE, EXCEPT CARCASSES AND HALF-CARCASSES, HAMS, SHOULDER CUTS THEREOF WITH BONE IN, NOT PROCESSED, FRESH OR CHILLED, NESOI","KG",
"0203210000","CARCASSES AND HALF-CARCASSES OF SWINE, FROZEN","KG",
"0203221000","HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, PROCESSED, FROZEN","KG",
"0203229000","HAMS, SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, FROZEN, EXCEPT PROCESSED","KG",
"0203292000","MEAT OF SWINE, PROCESSED, FROZEN, NESOI","KG",
"0203294000","MEAT OF SWINE, FROZEN, NESOI","KG",
"0204100000","CARCASSES AND HALF-CARCASSES OF LAMB, FRESH OR CHILLED","KG",
"0204210000","CARCASSES AND HALF-CARCASSES OF SHEEP, FRESH OR CHILLED","KG",
"0204222010","SHOULDERS OF LAMB, WITH BONE IN, FRESH OR CHILLED","KG",
"0204222020","LEGS OF LAMB, WITH BONE IN, FRESH OR CHILLED","KG",
"0204222030","LOINS OF LAMB, WITH BONE IN, FRESH OR CHILLED","KG",
"0204222090","MEAT OF LAMB, WITH BONE IN, FRESH OR CHILLED, NESOI","KG",
"0204224000","MEAT OF SHEEP, WITH BONE IN, FRESH OR CHILLED, NESOI","KG",
"0204232000","MEAT OF LAMB, BONELESS, FRESH OR CHILLED","KG",
"0204234000","MEAT OF SHEEP, BONELESS, FRESH OR CHILLED, EXCEPT LAMB","KG",
"0204300000","CARCASSES AND HALF-CARCASSES OF LAMB, FROZEN","KG",
"0204410000","CARCASSES AND HALF-CARCASSES OF SHEEP, FROZEN","KG",
"0204422010","SHOULDERS OF LAMB, WITH BONE IN, FROZEN","KG",
"0204422020","LEGS OF LAMB, WITH BONE IN, FROZEN","KG",
"0204422030","LOINS OF LAMB, WITH BONE IN, FROZEN","KG",
"0204422090","MEAT OF LAMB, WITH BONE IN, FROZEN, NESOI","KG",
"0204424000","MEAT OF SHEEP, WITH BONE IN, FROZEN, NESOI","KG",
"0204432000","MEAT OF LAMB, BONELESS, FROZEN","KG",
"0204434000","MEAT OF SHEEP, BONELESS, FROZEN, EXCEPT LAMB","KG",
"0204500000","MEAT OF GOATS, FRESH, CHILLED OR FROZEN","KG",
"0205000000","MEAT OF HORSES, ASSES, MULES OR HINNIES, FRESH, CHILLED OR FROZEN","KG",
"0206100000","OFFAL OF BOVINES, EDIBLE, FRESH OR CHILLED","KG",
"0206210000","TONGUES OF BOVINES, EDIBLE, FROZEN","KG",
"0206220000","LIVERS OF BOVINES, EDIBLE, FROZEN","KG",
"0206300000","OFFAL OF SWINE, EDIBLE, FRESH OR CHILLED","KG",
"0206410000","LIVERS OF SWINE, EDIBLE, FROZEN","KG",
"0206800000","OFFAL OF SHEEP, GOATS, HORSES, ASSES, MULES OR HINNIES, EDIBLE, FRESH OR CHILLED","KG",
"0206900020","OFFAL OF SHEEP (INCLUDING LAMB), EDIBLE, FROZEN","KG",
"0206900040","OFFAL OF GOATS, HORSES, ASSES, MULES OR HINNIES, EDIBLE, FROZEN","KG",
"0207110020","CHICKENS, WHOLE, YOUNG (BROILERS, FRYERS, ROASTERS AND CAPONS), FRESH OR CHILLED","KG",
"0207110040","CHICKENS, WHOLE, FRESH OR CHILLED, EXCEPT YOUNG","KG",
"0207120020","CHICKENS, WHOLE, YOUNG (BROILERS, FRYERS, ROASTERS AND CAPONS), FROZEN","KG",
"0207120040","CHICKENS, WHOLE, FROZEN, EXCEPT YOUNG","KG",
"0207130000","MEAT AND EDIBLE OFFAL OF CHICKENS, FRESH OR CHILLED","KG",
"0207140020","LIVERS OF CHICKENS, FROZEN","KG",
"0207240000","TURKEYS, WHOLE, FRESH OR CHILLED","KG",
"0207252000","TURKEYS, WHOLE, VALUED AT LESS THAN $0.88 PER KG, FROZEN","KG",
"0207254000","TURKEYS, WHOLE, VALUED AT $0.88 OR MORE PER KG, FROZEN","KG",
"0207260000","MEAT AND EDIBLE OFFAL OF TURKEYS, FRESH OR CHILLED","KG",
"0207270020","LIVERS OF TURKEYS, FROZEN","KG",
"0207410000","DUCKS, WHOLE, FRESH OR CHILLED","KG",
"0207420000","DUCKS, WHOLE, FROZEN","KG",
"0207430000","LIVERS OF DUCKS, FATTY, FRESH OR CHILLED","KG",
"0207440000","MEAT AND EDIBLE OFFAL OF DUCKS, FRESH OR CHILLED, EXCEPT WHOLE DUCKS OR FATTY LIVERS","KG",
"0207450020","LIVERS OF DUCKS, FROZEN","KG",
"0207450040","MEAT AND EDIBLE OFFAL OF DUCKS, FROZEN, EXCEPT LIVERS","KG",
"0207510000","GEESE, WHOLE, FRESH OR CHILLED","KG",
"0207520000","GEESE, WHOLE, FROZEN","KG",
"0207530000","LIVERS OF GEESE, FATTY, FRESH OR CHILLED","KG",
"0207540000","MEAT AND EDIBLE OFFAL OF GEESE, FRESH OR CHILLED, EXCEPT WHOLE GEESE OR FATTY LIVERS","KG",
"0207550020","LIVERS OF GEESE, FROZEN","KG",
"0207550040","MEAT AND EDIBLE OFFAL OF GEESE, FROZEN, EXCEPT LIVERS","KG",
"0207601000","GUINEA FOWLS, WHOLE, FRESH OR CHILLED","KG",
"0207602000","GUINEA FOWLS, WHOLE, FROZEN","KG",
"0207603000","LIVERS OF GUINEA FOWLS, FATTY, FRESH OR CHILLED","KG",
"0207604000","MEAT AND EDIBLE OFFAL OF GUINEA FOWLS, FRESH OR CHILLED, EXCEPT WHOLE FOWLS OR FATTY LIVERS","KG",
"0207606020","LIVERS OF GUINEA FOWLS, FROZEN","KG",
"0207606040","MEAT AND EDIBLE OFFAL OF GUINEA FOWLS, FROZEN, EXCEPT LIVERS","KG",
"0208100000","MEAT AND EDIBLE OFFAL OF RABBITS OR HARES, FRESH, CHILLED OR FROZEN","KG",
"0208300000","MEAT AND EDIBLE OFFAL OF PRIMATES, FRESH, CHILLED OR FROZEN","KG",
"0208400100","MEAT AND EDIBLE OFFAL OF WHALES, DOLPHINS AND PORPOISES (CETACEA); OF MANATEES AND DUGONGS (SIRENIA); FRESH, CHILLED OR FROZEN","KG",
"0208500000","MEAT AND EDIBLE OFFAL OF REPTILES (INCLUDING SNAKES AND TURTLES), FRESH, CHILLED OR FROZEN","KG",
"0208600000","MEAT AND EDIBLE OFFAL, OF CAMELS AND OTHER CAMELIDS (CAMELIDAE), FRESH, CHILLED OR FROZEN, NESOI","KG",
"0208902000","MEAT AND EDIBLE OFFAL OF DEER, FRESH, CHILLED OR FROZEN","KG",
"0208902500","FROG'S LEGS, FRESH, CHILLED OR FROZEN","KG",
"0208903000","QUAIL, WHOLE, EVISCERATED, FRESH, CHILLED OR FROZEN","KG",
"0208909100","MEAT AND EDIBLE OFFAL, FRESH, CHILLED OR FROZEN, NESOI","KG",
"0209100000","PIG FAT, FREE OF LEAN MEAT, NOT RENDERED OR OTHERWISE EXTRACTED, FRESH, CHILED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED","KG",
"0209900000","POULTRY FAT, NOT RENDERED OR OTHERWISE EXTRACTED, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED","KG",
"0210110010","HAMS AND CUTS THEREOF, OF SWINE, WITH BONE IN, SALTED, IN BRINE, DRIED OR SMOKED","KG",
"0210110020","SHOULDERS AND CUTS THEREOF, OF SWINE, WITH BONE IN, SALTED, IN BRINE, DRIED OR SMOKED","KG",
"0210120020","BACON OF SWINE","KG",
"0210120040","BELLIES (STREAKY) AND CUTS THEREOF, OF SWINE, SALTED, IN BRINE, DRIED OR SMOKED, EXCEPT BACON","KG",
"0210190010","BACON OF SWINE, CANADIAN STYLE","KG",
"0210190090","MEAT OF SWINE, SALTED, IN BRINE, DRIED OR SMOKED, NESOI","KG",
"0210200000","MEAT OF BOVINES, SALTED, IN BRINE, DRIED OR SMOKED","KG",
"0210910000","MEAT AND EDIBLE OFFAL OF PRIMATES, SALTED, IN BRINE, DRIED OR SMOKED, INCLUDING EDIBLE FLOURS AND MEALS","KG",
